Date,Client,Order Quantity,Material
2020/1/13,c10,14,12404641
2020/1/13,c10,80,12293768
2020/1/13,c4,1764,12321896
2020/1/13,c4,990,12365978
2020/1/13,c5,12,12246740
2020/1/13,c2,144,12222902
2020/1/13,c4,28,12396696
2020/1/13,c8,42,12395525
2020/1/13,c8,105,12322779
2020/1/13,c8,160,12293768
2020/1/13,c3,108,12293783
2020/1/13,c3,294,12395525
2020/1/13,c3,210,12322779
2020/1/13,c3,120,12293768
2020/1/13,c4,396,12365978
2020/1/14,c6,96,12222902
2020/1/14,c1,210,12395525
2020/1/14,c1,66,12271469
2020/1/14,c1,105,12322779
2020/1/14,c1,216,12293783
2020/1/14,c1,60,12293768
2020/1/14,c1,32,12404641
2020/1/14,c1,104,12246740
2020/1/14,c3,84,12395525
2020/1/14,c3,196,12404641
2020/1/14,c3,20,12293768
2020/1/14,c3,24,12322779
2020/1/14,c2,99,11000858
2020/1/14,c2,330,11000851
2020/1/14,c2,126,12042081
2020/1/14,c2,126,11001186
2020/1/14,c3,126,12395525
2020/1/14,c3,264,12271469
2020/1/14,c3,108,12293783
2020/1/14,c3,160,12293768
2020/1/14,c10,66,12271469
2020/1/14,c10,108,12293783
2020/1/14,c10,28,12404641
2020/1/14,c10,160,12293768
2020/1/14,c7,432,12293783
2020/1/14,c6,396,12320619
2020/1/14,c6,924,12320618
2020/1/14,c6,396,12320670
2020/1/14,c6,264,12320619
2020/1/14,c7,24,12222902
2020/1/14,c1,168,12395525
2020/1/14,c1,132,12271469
2020/1/14,c1,108,12293783
2020/1/14,c1,39,12404641
2020/1/14,c1,192,12222902
2020/1/14,c1,116,12404641
2020/1/14,c1,110,11000851
2020/1/14,c1,126,12042081
2020/1/14,c1,132,12320619
2020/1/14,c1,264,12320670
2020/1/14,c1,132,12320618
2020/1/14,c6,66,12320618
2020/1/14,c6,66,12320670
2020/1/14,c6,66,12320619
2020/1/14,c1,99,11000858
2020/1/14,c1,110,11000851
2020/1/14,c1,126,11001186
2020/1/14,c1,126,12042081
2020/1/14,c3,75,12322779
2020/1/14,c3,108,12293783
2020/1/14,c3,66,12271469
2020/1/14,c3,168,12395525
